Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,13033.169922,13077.570313,12987.530273,13045.190430,13045.190430,81389100
2020-02-04,13135.610352,13282.629883,13131.070313,13281.740234,13281.740234,80887400
2020-02-05,13224.269531,13488.580078,13223.139648,13478.330078,13478.330078,108453900
2020-02-06,13570.330078,13606.969727,13533.660156,13574.820313,13574.820313,114567900
2020-02-07,13530.769531,13551.030273,13463.980469,13513.809570,13513.809570,87036900
2020-02-10,13476.000000,13501.740234,13445.410156,13494.030273,13494.030273,60456500
2020-02-11,13604.740234,13668.429688,13557.959961,13627.839844,13627.839844,104753500
2020-02-12,13671.150391,13758.700195,13658.150391,13749.780273,13749.780273,86733300
2020-02-13,13695.929688,13745.429688,13576.959961,13745.429688,13745.429688,92087000
2020-02-14,13756.469727,13788.509766,13728.120117,13744.209961,13744.209961,66314900
2020-02-17,13770.669922,13795.240234,13754.040039,13783.889648,13783.889648,57400100
2020-02-18,13668.940430,13731.389648,13660.450195,13681.190430,13681.190430,82088700
2020-02-19,13751.049805,13789.000000,13710.780273,13789.000000,13789.000000,90192900
2020-02-20,13774.440430,13788.410156,13664.000000,13664.000000,13664.000000,86435200
2020-02-21,13609.940430,13689.230469,13500.500000,13579.330078,13579.330078,108765400
2020-02-24,13231.379883,13236.580078,12982.139648,13035.240234,13035.240234,165148900
2020-02-25,13132.040039,13132.040039,12778.660156,12790.490234,12790.490234,129552500
2020-02-26,12682.160156,12849.169922,12368.049805,12774.879883,12774.879883,163618900
2020-02-27,12526.599609,12593.620117,12211.629883,12367.459961,12367.459961,191240900
2020-02-28,11891.870117,12008.589844,11724.120117,11890.349609,11890.349609,274623700
2020-03-02,12030.269531,12121.599609,11624.629883,11857.870117,11857.870117,207214100
2020-03-03,12013.059570,12272.990234,11906.820313,11985.389648,11985.389648,195936600
2020-03-04,11992.589844,12199.820313,11929.240234,12127.690430,12127.690430,147845700
2020-03-05,12191.410156,12207.769531,11844.879883,11944.719727,11944.719727,148086000
2020-03-06,11694.559570,11769.849609,11447.200195,11541.870117,11541.870117,195038500
2020-03-09,10690.080078,10995.219727,10556.639648,10625.019531,10625.019531,305324300
2020-03-10,10724.980469,11032.290039,10423.900391,10475.490234,10475.490234,267400800
2020-03-11,10601.849609,10761.429688,10390.509766,10438.679688,10438.679688,216708900
2020-03-12,9863.990234,9932.559570,9139.120117,9161.129883,9161.129883,390477000
2020-03-13,9480.780273,9985.740234,9064.679688,9232.080078,9232.080078,325900900
2020-03-16,8728.480469,8967.110352,8255.650391,8742.250000,8742.250000,302202400
2020-03-17,9141.169922,9145.929688,8423.559570,8939.099609,8939.099609,220092600
2020-03-18,8613.349609,8670.410156,8400.179688,8441.709961,8441.709961,207558900
2020-03-19,8495.940430,8668.480469,8257.530273,8610.429688,8610.429688,205539300
2020-03-20,9080.490234,9201.070313,8838.299805,8928.950195,8928.950195,286466000
2020-03-23,8536.330078,9071.139648,8480.280273,8741.150391,8741.150391,197208600
2020-03-24,9242.059570,9700.570313,9102.169922,9700.570313,9700.570313,203840700
2020-03-25,9987.370117,10137.620117,9460.910156,9874.259766,9874.259766,204692500
2020-03-26,9621.240234,10000.959961,9526.169922,10000.959961,10000.959961,160450300
2020-03-27,9793.500000,9886.179688,9541.830078,9632.519531,9632.519531,156138300
2020-03-30,9725.879883,9817.509766,9453.790039,9815.969727,9815.969727,131120200
2020-03-31,9970.790039,10096.419922,9703.879883,9935.839844,9935.839844,151505700
2020-04-01,9610.669922,9686.459961,9498.049805,9544.750000,9544.750000,132862200
2020-04-02,9587.450195,9650.269531,9337.019531,9570.820313,9570.820313,144225800
2020-04-03,9535.269531,9626.719727,9470.200195,9525.769531,9525.769531,116245300
2020-04-06,9889.030273,10097.309570,9841.490234,10075.169922,10075.169922,126692200
2020-04-07,10464.110352,10590.410156,10225.019531,10356.700195,10356.700195,149513100
2020-04-08,10301.559570,10340.790039,10198.219727,10332.889648,10332.889648,102430700
2020-04-09,10490.650391,10649.790039,10311.700195,10564.740234,10564.740234,134477100
2020-04-14,10733.969727,10820.169922,10658.959961,10696.559570,10696.559570,106043700
2020-04-15,10678.190430,10678.190430,10243.110352,10279.759766,10279.759766,133088500
2020-04-16,10420.259766,10438.370117,10236.240234,10301.540039,10301.540039,106131500
2020-04-17,10607.349609,10756.780273,10542.709961,10625.780273,10625.780273,143341400
2020-04-20,10704.349609,10707.309570,10444.549805,10675.900391,10675.900391,103611100
2020-04-21,10519.440430,10524.730469,10249.849609,10249.849609,10249.849609,121194400
2020-04-22,10370.250000,10425.019531,10321.200195,10415.030273,10415.030273,92389500
2020-04-23,10437.379883,10608.389648,10325.110352,10513.790039,10513.790039,97907700
2020-04-24,10299.309570,10486.469727,10299.309570,10336.089844,10336.089844,120035000
2020-04-27,10551.070313,10660.360352,10523.099609,10659.990234,10659.990234,122476600
2020-04-28,10658.469727,10897.820313,10651.580078,10795.629883,10795.629883,146549900
